일자,중식계,석식계
2021-01-27,1019.4815543380175,203.9648733438773
2021-01-28,925.414855985846,430.9201014483664
2021-01-29,580.8619361337871,235.48736261617245
2021-02-01,1203.45240197286,556.3815781689918
2021-02-02,931.8187351789338,428.0706539250616
2021-02-03,912.9933594164363,412.7041399028527
2021-02-04,839.8144103794199,373.93375612160946
2021-02-05,616.8053339505025,355.33759820861076
2021-02-08,1190.8786571122419,572.2847583110913
2021-02-09,977.9030728696405,519.4745222128447
2021-02-10,798.442197147318,217.27376234766163
2021-02-15,1229.6264954165822,705.2163644263899
2021-02-16,1011.7625767963726,574.9987670457336
2021-02-17,1040.3458163028952,426.493090405758
2021-02-18,824.632912258036,501.0322939034645
2021-02-19,641.0488539929397,377.78563547829015
2021-02-22,1193.4780508841116,641.4407811965077
2021-02-23,1007.3711473004496,600.7038088290645
2021-02-24,890.5034277413422,361.9464793169669
2021-02-25,779.5001415648353,479.6061283179471
2021-02-26,565.8767893558372,292.6189051872645
2021-03-02,1100.226352461662,669.864653091097
2021-03-03,959.4068017420566,498.83959517100834
2021-03-04,894.5564317925122,492.0166615793314
2021-03-05,643.2493951260496,343.43861186415836
2021-03-08,1270.0063410833604,696.2410210539749
2021-03-09,1100.8795530159355,672.072694195491
2021-03-10,1002.8929157348762,475.71402037553224
2021-03-11,876.667061256554,512.7147286972598
2021-03-12,653.8306532329775,328.0893529330119
2021-03-15,1231.055429113932,708.7933645558286
2021-03-16,975.1737031488775,552.7719847847553
2021-03-17,1038.3971855481557,427.53648497055633
2021-03-18,880.569192297925,474.3154030599669
2021-03-19,641.4107815810039,308.8859139503571
2021-03-22,1180.364589499873,657.6661929994638
2021-03-23,950.2084877241932,573.9862845353473
2021-03-24,894.3787243089365,401.2598647308398
2021-03-25,826.235154181544,435.18852908205093
2021-03-26,589.5208659664204,292.6003160321127
2021-03-29,1179.003080650847,634.574924655478
2021-03-30,956.2084653242131,567.8454564179453
2021-03-31,940.6694840916125,372.14654280385713
2021-04-01,779.1143392805717,429.91557406474465
2021-04-02,598.5560227021824,288.7926131816097
2021-04-05,1158.401446020392,594.9638145481292
2021-04-06,987.8660178828875,538.8673872720096
2021-04-07,966.9020976769937,429.86638899267524
2021-04-08,836.0251960603995,451.2376592893522
2021-04-09,586.2379690663181,290.54723582248886
