일자,중식계,석식계
2021-01-27,922.1268957313836,223.25693123299297
2021-01-28,858.650821672318,441.71327174871647
2021-01-29,580.7634738363251,311.11938211850486
2021-02-01,1279.065836106374,562.5602199408305
2021-02-02,1107.6124555920987,489.8834917695347
2021-02-03,1052.8650132584912,358.18085551722567
2021-02-04,958.2297842367103,492.23630707828323
2021-02-05,830.4230837493535,328.75921037008294
2021-02-08,1320.267287922136,662.6028272365378
2021-02-09,1144.0580316488501,566.7862527369772
2021-02-10,983.1176559463363,290.9026412742228
2021-02-15,1252.0231866367717,683.0749260611179
2021-02-16,1132.5028538832892,681.6596881605104
2021-02-17,1112.835933205034,351.4737935387489
2021-02-18,1007.4005993960852,580.7225051575947
2021-02-19,767.4792932771171,348.0801394504931
2021-02-22,1299.9800004681879,683.9704338483477
2021-02-23,1085.0351170608938,682.0489981298931
2021-02-24,1035.4844971322125,356.4695729738044
2021-02-25,922.0037540261308,555.187691928573
2021-02-26,714.4240376960394,356.0515176568848
2021-03-02,1140.5354996643098,680.4652022306101
2021-03-03,983.2497734701954,404.1409952632684
2021-03-04,1009.1918539237338,652.8064856687696
2021-03-05,685.1189738922207,351.83978868895304
2021-03-08,1345.4886485367533,687.9313778425708
2021-03-09,1081.611423195978,679.9769968333501
2021-03-10,931.7810184159941,411.48658921647746
2021-03-11,980.1805158590599,621.0967468743062
2021-03-12,749.8731167994109,359.2063719109861
2021-03-15,1315.9345487719163,683.9744238038904
2021-03-16,1031.166416917172,656.0773486539739
2021-03-17,1060.2597885136129,387.21411696714296
2021-03-18,957.7639714126329,552.5965872707733
2021-03-19,721.7595180961703,356.2660911645251
2021-03-22,1193.748564519876,658.180942924338
2021-03-23,1004.1259912079179,633.2348736400835
2021-03-24,956.3344176682779,270.7588793687319
2021-03-25,891.3520578370459,484.26213949868827
2021-03-26,658.3008801355596,350.75836960121154
2021-03-29,1160.8002502155962,648.4278949613312
2021-03-30,943.8245876603308,631.7893411822455
2021-03-31,910.3203590175979,187.87296305823335
2021-04-01,848.4948142354021,454.88300838009945
2021-04-02,744.8516563949383,355.91712011999044
2021-04-05,1230.3733753754511,645.5883368916374
2021-04-06,1064.505160776617,622.7649428668323
2021-04-07,1040.1764862681134,407.00070031501605
2021-04-08,959.9071936882295,518.614838674909
2021-04-09,748.1137141435036,361.02980540121195
