일자,중식계,석식계
2021-01-27,997.3875303288255,280.6578176018914
2021-01-28,933.9912874460949,506.3613228990359
2021-01-29,585.1727842903699,220.1453282682407
2021-02-01,1204.1893587255042,512.1107703866726
2021-02-02,1041.973071387176,543.4248819819057
2021-02-03,1069.8720207000356,499.4083115064788
2021-02-04,995.4939025107203,546.8373112571642
2021-02-05,684.9876307269967,376.00755991519907
2021-02-08,1297.8932646581839,700.1912107456144
2021-02-09,1072.1968713397573,557.9606053044795
2021-02-10,840.7246536657999,71.93332120158476
2021-02-15,1291.207563616636,702.1274227483859
2021-02-16,1119.7421758015753,674.7192875302408
2021-02-17,1056.5550800105748,429.69278359372447
2021-02-18,925.2664345874193,557.4912168156695
2021-02-19,654.7172584819469,361.31799444839794
2021-02-22,1294.4503825161307,748.7537600366387
2021-02-23,1085.2256537157607,649.5425628357539
2021-02-24,956.3604077912298,341.13074989374775
2021-02-25,922.5634371075618,583.3781376051359
2021-02-26,622.2430751233644,337.90628282081127
2021-03-02,1175.721269647832,647.1419988732292
2021-03-03,1076.2663499342182,498.63607427145956
2021-03-04,992.952605213959,577.4199169067491
2021-03-05,689.0165775528548,436.35093172200493
2021-03-08,1383.1483293689214,777.416611951663
2021-03-09,1259.7680296195504,775.1213357605131
2021-03-10,1067.101499988074,455.8521719051559
2021-03-11,1018.7844881659398,597.5808732119934
2021-03-12,650.2720110197672,341.2512564847326
2021-03-15,1284.959481762865,721.6105617833449
2021-03-16,1074.1204858524427,612.0104933483608
2021-03-17,1039.3320416520573,451.89834557825066
2021-03-18,945.4739890979872,538.3971937498011
2021-03-19,654.1252229983711,321.3444993145581
2021-03-22,1235.032561723042,665.5009393542251
2021-03-23,1034.0088984085055,655.5457665743519
2021-03-24,947.5431481449058,274.4065491221801
2021-03-25,938.9061705161355,544.6277416685108
2021-03-26,601.4949922564753,275.03389746424034
2021-03-29,1251.7910059212506,685.1950941068139
2021-03-30,1081.2267565928355,652.5331227101403
2021-03-31,1022.3451017338016,345.09355467234417
2021-04-01,893.8417450717145,517.1487585802695
2021-04-02,606.6314074301142,355.0755692222493
2021-04-05,1184.1795608186812,623.3211088987994
2021-04-06,1036.1753399551715,581.2470883254443
2021-04-07,1003.4447234014247,508.9122319315362
2021-04-08,893.2291991229667,493.74653560642713
2021-04-09,626.5425917395061,372.2054628437103
